Type of Hop Plant,State,2018 Area Harvested,2018 Yield Per Acre lbs,2018 Production,2018 Gross Profit,2018 Price Per Pound,2019 Area Harvested,2019 Yield Per Acre ,2019 Production,2019 Gross Profit,2019 Price Per Pound,2020 Area Harvested,2020 Yield Per Acre ,2020 Production,2020 Gross Profit,2020 Price Per Pound
"Amarillo R, VGXP01",Idaho,825,2009,1657.4,10647.7,5.3,561,1560,875.2,8190,5.25,538,1576,847.9,9140.8,5.8
Apollo TM,Idaho,232,1951,452.6,10340.3,5.3,,,,0,,,,,0,
Bravo TM,Idaho,87,2226,193.7,11797.8,5.3,,,,0,,,,,0,
Calypso TM,Idaho,81,2138,173.2,11331.4,5.3,81,1901,154,9980.25,5.25,,,,0,5.8
Cascade,Idaho,836,1716,1434.6,9094.8,5.3,710,1823,1294.3,9570.75,5.25,407,1213,493.7,7035.4,5.8
Cashmere,Idaho,,,,0,,,,,0,,125,1578,197.3,9152.4,5.8
Chinook,Idaho,962,1873,1801.8,9926.9,5.3,786,2215,1741,11628.75,5.25,624,1614,1007.1,9361.2,5.8
"Citra R, HBC 394",Idaho,855,1438,1229.5,7621.4,5.3,973,1532,1490.6,8043,5.25,1527,1686,2574.5,9778.8,5.8
Cluster,Idaho,63,2126,133.9,11267.8,5.3,,,,0,,,,,0,
Comet,Idaho,,,,0,,112,1970,220.6,10342.5,5.25,93,1740,161.8,10092,5.8
Crystal,Idaho,150,1927,289.1,10213.1,5.3,131,1971,258.2,10347.75,5.25,,,,0,
El Dorado R,Idaho,120,1463,175.6,7753.9,5.3,352,1352,475.9,7098,5.25,526,1590,836.3,9222,5.8
Eureka! TM,Idaho,133,2299,305.8,12184.7,5.3,185,2243,415,11775.75,5.25,,,,0,
Galena,Idaho,109,1715,186.9,9089.5,5.3,113,1773,200.3,9308.25,5.25,,,,0,
Hallertauer,Idaho,,,,0,5.3,25,1253,31.3,6578.25,5.25,159,614,97.6,3561.2,5.8
Idaho 7 TM,Idaho,,,,0,5.3,388,2562,994.1,13450.5,5.25,564,2442,1377.3,14163.6,5.8
"Mosaic R, HBC 369",Idaho,506,2333,1180.5,12364.9,5.3,801,2296,1839.1,12054,5.25,1186,2335,2769.3,13543,5.8
Northern Brewer,Idaho,,,,0,5.3,57,1407,80.2,7386.75,5.25,58,1432,83.1,8305.6,5.8
Saaz,Idaho,,,,0,5.3,140,771,107.9,4047.75,5.25,,,,0,
"Simcoe R, YCR 14",Idaho,449,1245,559,6598.5,5.3,469,1164,545.9,6111,5.25,425,992,421.6,5753.6,5.8
Super Galena TM,Idaho,84,2493,209.4,13212.9,5.3,,,,0,,,,,0,
Triumph,Idaho,,,,0,,,,,0,,39,365,14.2,2117,5.8
Willamette,Idaho,,,,0,,170,1695,288.2,8898.75,5.25,,,,0,
Zeus 1/,Idaho,1496,2764,4134.9,14649.2,5.3,611,2672,1632.6,14028,5.25,,,,0,
"Amarillo R, VGXP01",Oregon,,,,0,5.4,212,2312,490.1,12716,5.5,216,2360,509.8,14160,6
Cascade,Oregon,1064,1623,1726.9,8764.2,5.4,1039,1620,1683.2,8910,5.5,754,1639,1235.8,9834,6
Centennial,Oregon,698,1277,891.3,6895.8,5.4,614,1661,1019.9,9135.5,5.5,489,1675,819.1,10050,6
Chinook,Oregon,129,1674,215.9,9039.6,5.4,114,1733,197.6,9531.5,5.5,86,1481,127.4,8886,6
"Citra R, HBC 394",Oregon,690,1600,1104,8640,5.4,998,1476,1473,8118,5.5,1327,1506,1998.5,9036,6
Crystal,Oregon,354,1819,643.9,9822.6,5.4,247,1943,479.9,10686.5,5.5,,,,0,
Fuggle,Oregon,59,1034,61,5583.6,5.4,63,1243,78.3,6836.5,5.5,,,,0,
Golding,Oregon,121,1160,140.4,6264,5.4,92,1351,124.3,7430.5,5.5,,,,0,
Liberty,Oregon,,,,0,,,,,0,,56,2289,128.2,13734,6
Magnum,Oregon,105,1284,134.8,6933.6,5.4,,,,0,,,,,0,
"Mosaic R, HBC 369",Oregon,,,,0,5.4,478,2113,1010,11621.5,5.5,595,2155,1282.2,12930,6
Mt. Hood,Oregon,311,1411,438.8,7619.4,5.4,295,1538,453.7,8459,5.5,159,1551,246.6,9306,6
Nugget,Oregon,1307,1946,2543.4,10508.4,5.4,1059,2130,2255.7,11715,5.5,826,1841,1520.7,11046,6
Perle,Oregon,77,1093,84.2,5902.2,5.4,,,,0,,,,,0,
"Sabro TM, HBC 438",Oregon,,,,0,5.4,,,,0,5.5,74,870,64.4,5220,6
"Simcoe R, YCR 14",Oregon,436,1588,692.4,8575.2,5.4,440,1845,811.8,10147.5,5.5,474,1823,864.1,10938,6
Sterling,Oregon,191,1760,336.2,9504,5.4,147,1643,241.5,9036.5,5.5,58,1728,100.2,10368,6
Strata OR 91331,Oregon,,,,0,5.4,253,2066,522.7,11363,5.5,484,2068,1000.9,12408,6
Super Galena TM,Oregon,84,2216,186.1,11966.4,5.4,78,2580,201.2,14190,5.5,87,2801,243.7,16806,6
Tettnanger,Oregon,72,1027,73.9,5545.8,5.4,,,,0,,,,,0,
Willamette,Oregon,913,1489,1359.5,8040.6,5.4,619,1717,1062.8,9443.5,5.5,605,1857,1123.5,11142,6
"Ahtanum TM, YCR 1",Washington,255,2730,696.2,15015,5.5,261,2820,736,16356,5.8,230,2134,490.8,12804,6
"Amarillo R, VGXP01",Washington,1895,1868,3539.9,10274,5.5,1597,1946,3107.8,11286.8,5.8,1395,1649,2300.4,9894,6
Apollo TM,Washington,795,2848,2264.2,15664,5.5,851,2735,2327.5,15863,5.8,750,2248,1686,13488,6
"Azacca TM, ADHA-483",Washington,546,2491,1360.1,13700.5,5.5,589,2441,1437.7,14157.8,5.8,722,1527,1102.5,9162,6
Bravo TM,Washington,280,3258,912.2,17919,5.5,236,3216,759,18652.8,5.8,201,2308,463.9,13848,6
Cascade,Washington,4274,1972,8428.3,10846,5.5,3718,1920,7138.6,11136,5.8,2877,1551,4462.2,9306,6
