,,,,,,,,,,
Type of Hop Plant,State,2018 Area Harvested,2019 Area Harvested,2020 Area Harvested,2018 Yield Per Acre ,2019 Yield Per Acre ,2020 Yield Per Acre ,2018 Production,2019 Production,2020 Production
"Amarillo R, VGXP01",Idaho,825,561,538,2009,1560,1576,1657.4,875.2,847.9
Apollo TM,Idaho,232,(D),(D),1951,(D),(D),452.6,(D),(D)
Bravo TM,Idaho,87,(D),(D),2226,(D),(D),193.7,(D),(D)
Calypso TM,Idaho,81,81,(D),2138,1901,(D),173.2,154,(D)
Cascade,Idaho,836,710,407,1716,1823,1213,1434.6,1294.3,493.7
Cashmere,Idaho,(D),(D),125,(D),(D),1578,(D),(D),197.3
Chinook,Idaho,962,786,624,1873,2215,1614,1801.8,1741,1007.1
"Citra R, HBC 394",Idaho,855,973,1527,1438,1532,1686,1229.5,1490.6,2574.5
Cluster,Idaho,63,(D),(D),2126,(D),(D),133.9,(D),(D)
Columbus/Tomahawk/Zeus 1/,Idaho,(D),991,1457,(D),3002,2673,(D),2975,3894.6
Comet,Idaho,(D),112,93,(D),1970,1740,(D),220.6,161.8
Crystal,Idaho,150,131,(D),1927,1971,(D),289.1,258.2,(D)
El Dorado R,Idaho,120,352,526,1463,1352,1590,175.6,475.9,836.3
Eureka! TM,Idaho,133,185,(D),2299,2243,(D),305.8,415,(D)
Galena,Idaho,109,113,(D),1715,1773,(D),186.9,200.3,(D)
Hallertauer,Idaho,(D),25,159,(D),1253,614,(D),31.3,97.6
Idaho 7 TM,Idaho,(D),388,564,(D),2562,2442,(D),994.1,1377.3
"Mosaic R, HBC 369",Idaho,506,801,1186,2333,2296,2335,1180.5,1839.1,2769.3
Northern Brewer,Idaho,(D),57,58,(D),1407,1432,(D),80.2,83.1
Other varieties 2/,Idaho,1152,702,1540,1845,1971,1567,2124.9,1383.7,2413.8
Saaz,Idaho,(D),140,(D),(D),771,(D),(D),107.9,(D)
"Simcoe R, YCR 14",Idaho,449,469,425,1245,1164,992,559,545.9,421.6
Super Galena TM,Idaho,84,(D),(D),2493,(D),(D),209.4,(D),(D)
Triumph,Idaho,(NA),(NA),39,(NA),(NA),365,(NA),(NA),14.2
Willamette,Idaho,(D),170,(D),(D),1695,(D),(D),288.2,(D)
Zeus 1/,Idaho,1496,611,(NA),2764,2672,(NA),4134.9,1632.6,(NA)
"Amarillo R, VGXP01",Oregon,(D),212,216,(D),2312,2360,(D),490.1,509.8
Cascade,Oregon,1064,1039,754,1623,1620,1639,1726.9,1683.2,1235.8
Centennial,Oregon,698,614,489,1277,1661,1675,891.3,1019.9,819.1
Chinook,Oregon,129,114,86,1674,1733,1481,215.9,197.6,127.4
"Citra R, HBC 394",Oregon,690,998,1327,1600,1476,1506,1104,1473,1998.5
Crystal,Oregon,354,247,(D),1819,1943,(D),643.9,479.9,(D)
Fuggle,Oregon,59,63,(D),1034,1243,(D),61,78.3,(D)
Golding,Oregon,121,92,(D),1160,1351,(D),140.4,124.3,(D)
Liberty,Oregon,(D),(D),56,(D),(D),2289,(D),(D),128.2
Magnum,Oregon,105,(D),(D),1284,(D),(D),134.8,(D),(D)
"Mosaic R, HBC 369",Oregon,(D),478,595,(D),2113,2155,(D),1010,1282.2
Mt. Hood,Oregon,311,295,159,1411,1538,1551,438.8,453.7,246.6
Nugget,Oregon,1307,1059,826,1946,2130,1841,2543.4,2255.7,1520.7
Other varieties 2/,Oregon,1114,558,814,2068,1644,1479,2303.5,917.5,1203.6
Perle,Oregon,77,(D),(D),1093,(D),(D),84.2,(D),(D)
"Sabro TM, HBC 438",Oregon,(NA),(D),74,(NA),(D),870,(NA),(D),64.4
"Simcoe R, YCR 14",Oregon,436,440,474,1588,1845,1823,692.4,811.8,864.1
Sterling,Oregon,191,147,58,1760,1643,1728,336.2,241.5,100.2
Strata OR 91331,Oregon,(NA),253,484,(NA),2066,2068,(NA),522.7,1000.9
Super Galena TM,Oregon,84,78,87,2216,2580,2801,186.1,201.2,243.7
Tettnanger,Oregon,72,(D),(D),1027,(D),(D),73.9,(D),(D)
Willamette,Oregon,913,619,605,1489,1717,1857,1359.5,1062.8,1123.5
"Ahtanum TM, YCR 1",Washington,255,261,230,2730,2820,2134,696.2,736,490.8
"Amarillo R, VGXP01",Washington,1895,1597,1395,1868,1946,1649,3539.9,3107.8,2300.4
Apollo TM,Washington,795,851,750,2848,2735,2248,2264.2,2327.5,1686
"Azacca TM, ADHA-483",Washington,546,589,722,2491,2441,1527,1360.1,1437.7,1102.5
Bravo TM,Washington,280,236,201,3258,3216,2308,912.2,759,463.9
Cascade,Washington,4274,3718,2877,1972,1920,1551,8428.3,7138.6,4462.2
Cashmere,Washington,195,310,448,1519,1699,1514,296.2,526.7,678.3
Centennial,Washington,3875,3031,2444,1364,1820,1640,5285.5,5516.4,4008.2
Chinook,Washington,1734,1437,1183,1875,1942,1665,3251.3,2790.7,1969.7
"Citra R, HBC 394",Washington,4837,6720,8143,1611,1424,1526,7792.4,9569.3,12426.2
